ClientID,Age,Location,Gender,DatePremierAchat,DateDernierAchat,MontantTotalDepense,FrequenceAchats,PanierMoyen,Canal,CAC_Estime,Newsletter,ScoreSatisfaction,DerniereVisiteSite,CategoriePreferee,ProduitsDifferentsAchetes,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,Cluster,Segment_Label
CLIENT_0001,47,Sainte Genevièvenec,F,2025-06-21,2025-08-11,33.15,3,11.05,SEA,25,False,3,108,Mode,5,121,3,33.15,4,3,1,431,1,A risque
CLIENT_0002,61,Sainte Margotboeuf,M,2024-02-08,2024-03-24,53.36,3,17.79,Social,15,True,5,600,Alimentation,5,626,3,53.36,2,3,2,232,1,A risque
CLIENT_0003,22,Maillard,F,2023-01-17,2024-05-26,54.96,2,27.48,Reference,5,True,4,533,Alimentation,1,563,2,54.96,2,1,2,212,4,Dormant
CLIENT_0004,52,Perret,F,2024-04-20,2024-06-20,10122.77,5,2024.55,Email,8,True,5,513,Maison,2,538,5,10122.77,2,5,5,255,0,A risque
CLIENT_0005,75,Grenier,M,2025-06-11,2025-06-16,75.1,2,37.55,Social,15,True,5,169,Alimentation,3,177,2,75.1,3,1,3,313,4,Dormant
CLIENT_0006,27,Maillard,M,2024-12-12,2025-01-01,55.81,5,11.16,SEA,25,False,3,342,Maison,10,343,5,55.81,3,5,2,352,1,A risque
CLIENT_0007,28,CaronBourg,M,2025-11-11,2025-12-09,31.64,4,7.91,Email,8,True,2,0,Maison,4,1,4,31.64,5,4,1,541,3,Loyal
CLIENT_0008,42,BonninVille,F,2024-01-25,2024-05-10,36.13,2,18.07,Direct,0,False,4,553,Loisirs,9,579,2,36.13,2,1,1,211,4,Dormant
CLIENT_0009,29,Deschamps,M,2025-12-02,2025-12-09,73.82,1,73.82,Direct,0,True,3,0,Alimentation,6,1,1,73.82,5,1,3,513,2,Potentiel
CLIENT_0010,44,Deschamps,M,2025-03-06,2025-05-30,218.64,3,72.88,Social,15,False,3,165,Maison,1,194,3,218.64,3,3,4,334,1,A risque
CLIENT_0011,61,Sainte Margotboeuf,F,2025-03-19,2025-12-09,327.34,3,109.11,Reference,5,False,5,0,Électronique,9,1,3,327.34,5,3,4,534,3,Loyal
CLIENT_0012,25,Baudry,F,2025-04-12,2025-12-09,475.66,1,475.66,Email,8,False,4,0,Mode,8,1,1,475.66,5,1,5,515,2,Potentiel
CLIENT_0013,34,Hubert,M,2023-11-08,2024-01-25,41.34,7,5.91,Email,8,True,2,666,Alimentation,4,685,7,41.34,1,5,1,151,1,A risque
CLIENT_0014,43,Deschamps,M,2023-08-02,2024-06-29,127.71,4,31.93,Reference,5,True,4,526,Maison,9,529,4,127.71,2,4,3,243,1,A risque
CLIENT_0015,20,Sainte Christophe,M,2025-01-06,2025-08-28,98.11,4,24.53,SEA,25,False,4,76,Mode,5,104,4,98.11,4,4,3,443,1,A risque
CLIENT_0016,75,Delorme,M,2024-06-11,2025-02-20,343.85,1,343.85,Social,15,False,5,263,Maison,5,293,1,343.85,3,1,4,314,4,Dormant
CLIENT_0017,44,Meunier,F,2024-04-13,2024-12-24,20933.36,1,20933.36,Email,8,True,5,350,Alimentation,2,351,1,20933.36,3,1,5,315,0,A risque
CLIENT_0018,50,Baudry,F,2025-04-24,2025-12-09,62.9,2,31.45,Social,15,False,4,0,Alimentation,6,1,2,62.9,5,1,2,512,2,Potentiel
CLIENT_0019,19,Baudry,F,2023-03-15,2023-10-16,95.73,6,15.96,Direct,0,True,3,763,Alimentation,9,786,6,95.73,1,5,3,153,1,A risque
CLIENT_0020,42,Gimenez,F,2025-01-11,2025-08-30,57.99,5,11.6,Social,15,True,4,99,Loisirs,2,102,5,57.99,4,5,2,452,1,A risque
CLIENT_0021,18,Gimenez,F,2024-08-15,2024-09-09,31.31,4,7.83,Social,15,True,3,455,Électronique,8,457,4,31.31,2,4,1,241,1,A risque
CLIENT_0022,42,Maillard,F,2024-02-08,2024-07-21,48.21,2,24.11,SEA,25,True,4,502,Électronique,4,507,2,48.21,2,1,2,212,4,Dormant
CLIENT_0023,50,Leconte-sur-Masson,M,2023-12-29,2024-01-12,4297.76,2,2148.88,Email,8,False,5,696,Maison,4,698,2,4297.76,1,1,5,115,0,A risque
CLIENT_0024,48,Perret,M,2024-01-12,2025-05-11,197.47,3,65.82,Direct,0,False,4,212,Électronique,8,213,3,197.47,3,3,4,334,1,A risque
CLIENT_0025,32,Sainte Christophe,M,2025-11-14,2025-12-09,52.09,3,17.36,Direct,0,False,4,0,Maison,9,1,3,52.09,5,3,2,532,3,Loyal
CLIENT_0026,18,Baudry,M,2025-07-22,2025-10-17,127.64,5,25.53,SEA,25,True,5,37,Loisirs,9,54,5,127.64,4,5,3,453,1,A risque
CLIENT_0027,50,Gimenez,F,2023-03-24,2023-04-21,56.96,5,11.39,Social,15,True,3,936,Maison,4,964,5,56.96,1,5,2,152,1,A risque
CLIENT_0028,67,Sanchez,F,2023-06-07,2025-02-01,626.25,2,313.12,SEA,25,False,5,310,Maison,5,312,2,626.25,3,1,5,315,0,A risque
CLIENT_0029,46,Grenier,M,2025-03-25,2025-12-09,133.61,3,44.54,Direct,0,False,2,0,Mode,3,1,3,133.61,5,3,4,534,3,Loyal
CLIENT_0030,39,Grenier,F,2025-10-09,2025-11-15,36.95,5,7.39,Email,8,False,2,18,Maison,6,25,5,36.95,4,5,1,451,3,Loyal
CLIENT_0031,18,Deschamps,F,2023-03-09,2023-06-04,217.57,1,217.57,Reference,5,True,5,904,Électronique,5,920,1,217.57,1,1,4,114,4,Dormant
CLIENT_0032,26,Sainte Genevièvenec,F,2025-10-07,2025-12-09,36.21,2,18.11,Reference,5,True,5,0,Mode,5,1,2,36.21,5,1,1,511,2,Potentiel
CLIENT_0033,45,Delorme,M,2023-11-20,2024-01-13,1688.67,7,241.24,Direct,0,True,5,696,Électronique,2,697,7,1688.67,1,5,5,155,0,A risque
CLIENT_0034,18,Gimenez,M,2025-10-30,2025-12-09,30.7,2,15.35,Social,15,False,5,0,Maison,7,1,2,30.7,5,1,1,511,2,Potentiel
