ClientID,Age,Location,Gender,DatePremierAchat,DateDernierAchat,MontantTotalDepense,FrequenceAchats,PanierMoyen,Canal,CAC_Estime,Newsletter,ScoreSatisfaction,DerniereVisiteSite,CategoriePreferee,ProduitsDifferentsAchetes
CLIENT_0001,47,Sainte Genevièvenec,F,2025-06-21,2025-08-11,33.15,3,11.05,SEA,25,False,3,108,Mode,5
CLIENT_0002,61,Sainte Margotboeuf,M,2024-02-08,2024-03-24,53.36,3,17.79,Social,15,True,5,600,Alimentation,5
CLIENT_0003,22,Maillard,F,2023-01-17,2024-05-26,54.96,2,27.48,Reference,5,True,4,533,Alimentation,1
CLIENT_0004,52,Perret,F,2024-04-20,2024-06-20,10122.77,5,2024.55,Email,8,True,5,513,Maison,2
CLIENT_0005,75,Grenier,M,2025-06-11,2025-06-16,75.1,2,37.55,Social,15,True,5,169,Alimentation,3
CLIENT_0006,27,Maillard,M,2024-12-12,2025-01-01,55.81,5,11.16,SEA,25,False,3,342,Maison,10
CLIENT_0007,28,CaronBourg,M,2025-11-11,2025-12-09,31.64,4,7.91,Email,8,True,2,0,Maison,4
CLIENT_0008,42,BonninVille,F,2024-01-25,2024-05-10,36.13,2,18.07,Direct,0,False,4,553,Loisirs,9
CLIENT_0009,29,Deschamps,M,2025-12-02,2025-12-09,73.82,1,73.82,Direct,0,True,3,0,Alimentation,6
CLIENT_0010,44,Deschamps,M,2025-03-06,2025-05-30,218.64,3,72.88,Social,15,False,3,165,Maison,1
CLIENT_0011,61,Sainte Margotboeuf,F,2025-03-19,2025-12-09,327.34,3,109.11,Reference,5,False,5,0,Électronique,9
CLIENT_0012,25,Baudry,F,2025-04-12,2025-12-09,475.66,1,475.66,Email,8,False,4,0,Mode,8
CLIENT_0013,34,Hubert,M,2023-11-08,2024-01-25,41.34,7,5.91,Email,8,True,2,666,Alimentation,4
CLIENT_0014,43,Deschamps,M,2023-08-02,2024-06-29,127.71,4,31.93,Reference,5,True,4,526,Maison,9
CLIENT_0015,20,Sainte Christophe,M,2025-01-06,2025-08-28,98.11,4,24.53,SEA,25,False,4,76,Mode,5
CLIENT_0016,75,Delorme,M,2024-06-11,2025-02-20,343.85,1,343.85,Social,15,False,5,263,Maison,5
CLIENT_0017,44,Meunier,F,2024-04-13,2024-12-24,20933.36,1,20933.36,Email,8,True,5,350,Alimentation,2
CLIENT_0018,50,Baudry,F,2025-04-24,2025-12-09,62.9,2,31.45,Social,15,False,4,0,Alimentation,6
CLIENT_0019,19,Baudry,F,2023-03-15,2023-10-16,95.73,6,15.96,Direct,0,True,3,763,Alimentation,9
CLIENT_0020,42,Gimenez,F,2025-01-11,2025-08-30,57.99,5,11.6,Social,15,True,4,99,Loisirs,2
CLIENT_0021,18,Gimenez,F,2024-08-15,2024-09-09,31.31,4,7.83,Social,15,True,3,455,Électronique,8
CLIENT_0022,42,Maillard,F,2024-02-08,2024-07-21,48.21,2,24.11,SEA,25,True,4,502,Électronique,4
CLIENT_0023,50,Leconte-sur-Masson,M,2023-12-29,2024-01-12,4297.76,2,2148.88,Email,8,False,5,696,Maison,4
CLIENT_0024,48,Perret,M,2024-01-12,2025-05-11,197.47,3,65.82,Direct,0,False,4,212,Électronique,8
CLIENT_0025,32,Sainte Christophe,M,2025-11-14,2025-12-09,52.09,3,17.36,Direct,0,False,4,0,Maison,9
CLIENT_0026,18,Baudry,M,2025-07-22,2025-10-17,127.64,5,25.53,SEA,25,True,5,37,Loisirs,9
CLIENT_0027,50,Gimenez,F,2023-03-24,2023-04-21,56.96,5,11.39,Social,15,True,3,936,Maison,4
CLIENT_0028,67,Sanchez,F,2023-06-07,2025-02-01,626.25,2,313.12,SEA,25,False,5,310,Maison,5
CLIENT_0029,46,Grenier,M,2025-03-25,2025-12-09,133.61,3,44.54,Direct,0,False,2,0,Mode,3
CLIENT_0030,39,Grenier,F,2025-10-09,2025-11-15,36.95,5,7.39,Email,8,False,2,18,Maison,6
CLIENT_0031,18,Deschamps,F,2023-03-09,2023-06-04,217.57,1,217.57,Reference,5,True,5,904,Électronique,5
CLIENT_0032,26,Sainte Genevièvenec,F,2025-10-07,2025-12-09,36.21,2,18.11,Reference,5,True,5,0,Mode,5
CLIENT_0033,45,Delorme,M,2023-11-20,2024-01-13,1688.67,7,241.24,Direct,0,True,5,696,Électronique,2
CLIENT_0034,18,Gimenez,M,2025-10-30,2025-12-09,30.7,2,15.35,Social,15,False,5,0,Maison,7
CLIENT_0035,33,Barbenec,M,2023-01-29,2023-11-05,46.24,3,15.41,Social,15,False,4,764,Alimentation,2
CLIENT_0036,42,Meunier,F,2024-09-23,2024-11-06,31.5,4,7.88,Direct,0,True,4,393,Mode,2
CLIENT_0037,52,BonninVille,M,2024-04-19,2024-10-16,1674.37,4,418.59,SEA,25,False,5,403,Loisirs,4
CLIENT_0038,45,Perret,M,2024-03-14,2024-07-18,108.37,4,27.09,Social,15,False,4,485,Alimentation,3
CLIENT_0039,47,BonninVille,M,2024-11-26,2025-04-03,31.66,4,7.92,Direct,0,True,3,223,Électronique,10
CLIENT_0040,47,Sanchez,F,2023-03-07,2023-03-26,51.5,3,17.17,Direct,0,True,5,968,Mode,7
CLIENT_0041,66,Barbenec,M,2023-10-20,2025-08-27,99.07,2,49.53,Social,15,True,4,90,Électronique,7
CLIENT_0042,37,Gimenez,M,2024-05-02,2024-07-21,60.41,4,15.1,Social,15,False,4,492,Électronique,3
CLIENT_0043,18,Deschamps,F,2025-03-17,2025-10-09,58.53,1,58.53,SEA,25,True,2,55,Loisirs,8
CLIENT_0044,18,Leconte-sur-Masson,F,2024-09-30,2025-12-09,849.75,2,424.88,Social,15,False,5,0,Mode,8
CLIENT_0045,58,Meunier,F,2023-10-23,2023-12-28,276.56,3,92.19,Reference,5,True,4,708,Maison,3
CLIENT_0046,37,Peronnec,M,2022-12-21,2023-04-17,477.22,4,119.31,Social,15,True,4,938,Électronique,5
CLIENT_0047,45,CaronBourg,F,2025-09-27,2025-12-09,124.62,3,41.54,Social,15,True,3,0,Maison,5
CLIENT_0048,49,Leconte-sur-Masson,M,2024-10-05,2025-12-09,78.65,3,26.22,Direct,0,True,2,0,Électronique,1
CLIENT_0049,50,Sainte Christophe,F,2025-08-03,2025-12-09,155.71,1,155.71,SEA,25,False,2,0,Électronique,4
CLIENT_0050,47,Techer-la-Forêt,M,2025-03-12,2025-12-09,31.75,5,6.35,Email,8,False,5,0,Loisirs,8
CLIENT_0051,75,Sanchez,F,2023-10-13,2024-08-15,215.84,2,107.92,SEA,25,True,4,471,Mode,10
CLIENT_0052,42,Delorme,M,2024-02-29,2024-04-01,1968.28,1,1968.28,SEA,25,False,5,600,Loisirs,10
CLIENT_0053,30,Leconte-sur-Masson,F,2024-12-10,2025-04-01,46.12,3,15.37,Direct,0,False,3,226,Électronique,3
CLIENT_0054,52,Sainte Genevièvenec,F,2024-11-24,2025-12-09,81.8,2,40.9,Email,8,True,1,0,Loisirs,6
CLIENT_0055,29,Hubert,M,2023-01-06,2023-07-09,116.67,3,38.89,Email,8,True,5,854,Alimentation,8
CLIENT_0056,38,Gimenez,M,2023-06-07,2024-02-28,53.6,4,13.4,Email,8,False,4,647,Électronique,8
CLIENT_0057,18,Barbenec,F,2025-11-11,2025-12-09,244.45,1,244.45,Email,8,True,3,0,Alimentation,8
CLIENT_0058,41,Baudry,M,2025-03-23,2025-04-24,47.73,5,9.55,SEA,25,True,3,214,Mode,7
CLIENT_0059,60,BonninVille,F,2024-03-11,2024-08-22,1237.65,3,412.55,Social,15,True,5,463,Loisirs,5
CLIENT_0060,57,CaronBourg,F,2025-04-13,2025-12-09,373.5,3,124.5,Direct,0,True,4,0,Alimentation,1
CLIENT_0061,44,Grenier,M,2025-07-10,2025-12-09,30809.27,2,15404.64,Social,15,True,5,0,Maison,10
CLIENT_0062,18,Gimenez,M,2023-06-15,2023-08-23,30.56,4,7.64,SEA,25,False,4,833,Mode,1
CLIENT_0063,18,Barbenec,F,2023-01-24,2023-03-27,35.13,2,17.57,Email,8,True,2,985,Électronique,7
CLIENT_0064,48,Sanchez,F,2023-09-29,2023-12-11,31.63,2,15.81,Reference,5,True,3,717,Alimentation,2
CLIENT_0065,32,CaronBourg,M,2024-09-13,2025-09-14,137.17,1,137.17,Email,8,True,5,74,Loisirs,3
CLIENT_0066,49,BonninVille,M,2023-03-11,2023-04-24,4456.04,2,2228.02,Social,15,False,4,953,Maison,1
CLIENT_0067,59,Techer-la-Forêt,F,2024-06-21,2024-09-04,45575.61,1,45575.61,Social,15,False,5,454,Électronique,7
CLIENT_0068,21,Maillard,F,2023-10-01,2023-12-04,36.79,3,12.26,Social,15,True,5,710,Mode,7
CLIENT_0069,41,Baudry,F,2025-09-16,2025-12-09,59.94,1,59.94,Social,15,True,3,0,Loisirs,6
CLIENT_0070,55,Deschamps,M,2025-03-29,2025-04-05,900.39,1,900.39,SEA,25,False,3,235,Mode,3
CLIENT_0071,39,Deschamps,F,2024-09-29,2024-10-28,59.42,2,29.71,Social,15,True,3,384,Mode,4
CLIENT_0072,50,Deschamps,M,2025-10-21,2025-11-25,68.68,3,22.89,Reference,5,True,5,8,Alimentation,2
CLIENT_0073,57,Grenier,F,2025-05-30,2025-08-13,42.31,2,21.16,Social,15,False,5,102,Électronique,3
CLIENT_0074,49,Peronnec,M,2023-11-08,2023-12-28,503.23,2,251.62,Direct,0,True,5,699,Maison,2
CLIENT_0075,18,CaronBourg,M,2023-05-10,2024-09-19,176.98,1,176.98,Reference,5,True,3,432,Alimentation,5
CLIENT_0076,40,Meunier,F,2023-04-05,2025-12-09,33.35,8,4.17,Social,15,False,3,0,Électronique,9
CLIENT_0077,22,Peronnec,F,2023-09-07,2023-10-29,1040.14,1,1040.14,SEA,25,False,4,763,Alimentation,5
CLIENT_0078,29,Leconte-sur-Masson,F,2024-06-01,2024-06-03,52.72,5,10.54,Direct,0,False,4,548,Alimentation,7
CLIENT_0079,48,Sanchez,F,2023-07-29,2023-09-25,349.62,4,87.41,Direct,0,True,4,783,Alimentation,2
CLIENT_0080,45,Maillard,M,2024-12-20,2025-07-09,348.49,4,87.12,Social,15,True,4,147,Maison,4
CLIENT_0081,46,Deschamps,F,2023-05-04,2025-12-09,31.63,7,4.52,Social,15,False,4,0,Maison,3
CLIENT_0082,41,Sainte Margotboeuf,F,2024-07-09,2025-12-09,42.23,6,7.04,Direct,0,True,3,0,Mode,3
CLIENT_0083,37,Barbenec,M,2023-11-19,2024-05-06,43.56,1,43.56,Social,15,True,2,561,Mode,8
CLIENT_0084,44,Gimenez,F,2023-11-25,2024-04-24,13758.87,7,1965.55,Email,8,True,5,581,Loisirs,4
CLIENT_0085,57,Hubert,F,2024-05-03,2025-12-09,34.63,4,8.66,Social,15,False,3,0,Mode,10
CLIENT_0086,60,Techer-la-Forêt,M,2025-10-13,2025-12-09,234.85,5,46.97,Reference,5,False,5,0,Mode,6
CLIENT_0087,71,CaronBourg,F,2025-09-11,2025-09-29,48.15,2,24.07,SEA,25,False,3,67,Maison,8
CLIENT_0088,37,BonninVille,F,2023-10-14,2023-12-30,13843.86,3,4614.62,SEA,25,True,5,709,Loisirs,1
CLIENT_0089,45,Deschamps,M,2024-10-29,2025-12-09,32.12,7,4.59,Email,8,True,4,0,Mode,6
CLIENT_0090,20,Hubert,F,2025-03-26,2025-12-09,71.34,4,17.84,Direct,0,True,2,0,Loisirs,8
CLIENT_0091,67,Maillard,F,2025-01-01,2025-06-03,776.08,1,776.08,SEA,25,True,5,178,Loisirs,7
CLIENT_0092,18,Baudry,F,2024-05-19,2024-09-19,568.81,3,189.6,Social,15,True,4,426,Loisirs,9
CLIENT_0093,18,Sainte Margotboeuf,M,2023-10-29,2024-04-23,836.32,2,418.16,Direct,0,False,5,587,Maison,4
CLIENT_0094,42,Baudry,F,2025-09-03,2025-10-06,129.76,4,32.44,Social,15,True,3,36,Électronique,7
CLIENT_0095,54,Hubert,M,2025-07-09,2025-07-18,55.4,4,13.85,SEA,25,False,1,138,Maison,6
CLIENT_0096,52,Sainte Genevièvenec,F,2025-03-17,2025-12-09,840.37,4,210.09,Social,15,False,4,0,Maison,5
CLIENT_0097,18,Perret,F,2024-12-26,2025-12-09,307.34,1,307.34,SEA,25,True,5,0,Maison,6
CLIENT_0098,57,Techer-la-Forêt,F,2023-07-20,2024-01-07,512.48,2,256.24,Direct,0,True,3,691,Mode,7
CLIENT_0099,18,Delorme,M,2024-08-10,2024-08-14,131.01,3,43.67,Email,8,True,5,475,Mode,6
CLIENT_0100,18,Leconte-sur-Masson,M,2024-04-17,2025-06-03,243.76,4,60.94,Email,8,False,4,186,Alimentation,3
CLIENT_0101,28,Leconte-sur-Masson,F,2023-12-06,2025-12-09,106.44,2,53.22,Email,8,True,4,0,Loisirs,10
CLIENT_0102,37,Sainte Margotboeuf,F,2025-05-21,2025-09-03,415.52,3,138.51,Direct,0,False,4,86,Maison,10
CLIENT_0103,43,CaronBourg,F,2024-02-09,2024-07-17,635.27,4,158.82,Social,15,False,5,483,Mode,9
CLIENT_0104,43,Delorme,M,2025-06-08,2025-12-09,821.96,1,821.96,SEA,25,True,4,0,Alimentation,7
CLIENT_0105,18,Barbenec,M,2024-06-13,2025-12-09,38.31,6,6.39,SEA,25,True,4,0,Mode,7
CLIENT_0106,28,Meunier,M,2024-09-26,2025-02-10,60.51,4,15.13,SEA,25,False,4,295,Mode,3
CLIENT_0107,18,Baudry,F,2022-12-17,2023-11-07,116.88,2,58.44,SEA,25,True,4,760,Maison,9
CLIENT_0108,35,Deschamps,F,2023-12-12,2025-04-01,2362.37,2,1181.18,Email,8,False,4,244,Loisirs,1
CLIENT_0109,41,Techer-la-Forêt,F,2023-09-04,2023-10-15,553.55,2,276.77,Social,15,True,5,769,Maison,2
CLIENT_0110,18,CaronBourg,M,2024-09-30,2025-03-27,138.49,5,27.7,Email,8,False,3,247,Mode,3
CLIENT_0111,45,Barbenec,F,2025-04-21,2025-12-09,57.41,1,57.41,Social,15,True,5,0,Mode,4
CLIENT_0112,50,Perret,M,2024-12-31,2025-10-06,38.51,6,6.42,Email,8,True,3,60,Électronique,4
CLIENT_0113,43,Barbenec,F,2025-08-15,2025-12-09,45.01,3,15.0,Email,8,False,2,0,Électronique,2
CLIENT_0114,64,Sanchez,M,2025-06-05,2025-06-29,381.95,1,381.95,Email,8,False,4,163,Loisirs,4
CLIENT_0115,18,Deschamps,F,2024-08-30,2024-10-11,1129.26,2,564.63,Email,8,True,5,411,Maison,6
CLIENT_0116,36,Techer-la-Forêt,M,2023-11-24,2024-01-27,149.79,3,49.93,SEA,25,True,3,679,Électronique,3
CLIENT_0117,52,Deschamps,F,2024-06-23,2024-08-10,57.71,4,14.43,Social,15,False,2,473,Électronique,9
CLIENT_0118,44,CaronBourg,M,2025-09-16,2025-12-09,2542.51,4,635.63,Direct,0,True,5,0,Électronique,7
CLIENT_0119,22,Sainte Margotboeuf,M,2025-10-18,2025-10-29,294.89,3,98.3,Email,8,True,4,33,Mode,4
CLIENT_0120,58,Maillard,M,2025-06-02,2025-07-03,181.4,2,90.7,Social,15,True,3,132,Électronique,8
CLIENT_0121,49,Perret,M,2025-07-29,2025-12-09,359.45,2,179.72,Social,15,False,5,0,Loisirs,8
CLIENT_0122,39,Deschamps,F,2025-06-21,2025-07-04,36.49,2,18.25,SEA,25,True,2,133,Électronique,2
CLIENT_0123,36,Barbenec,M,2025-01-30,2025-12-09,807.9,6,134.65,SEA,25,False,5,0,Alimentation,6
CLIENT_0124,27,Grenier,F,2023-11-20,2023-12-19,8060.51,2,4030.26,Social,15,True,5,717,Maison,1
CLIENT_0125,18,BonninVille,M,2023-04-28,2024-02-25,326.21,2,163.1,SEA,25,True,4,648,Alimentation,1
CLIENT_0126,27,Peronnec,F,2024-04-10,2025-05-12,147.87,3,49.29,Social,15,True,3,186,Mode,6
CLIENT_0127,52,Deschamps,M,2023-06-01,2023-12-09,95.9,1,95.9,Direct,0,False,5,722,Alimentation,10
CLIENT_0128,18,Sainte Christophe,M,2024-01-31,2024-06-10,418.19,2,209.09,Social,15,False,3,523,Maison,10
